time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1992-02-17T00:01:56.610Z,79.191,124.482,10,6,mw,,,,1,us,usp000535a,2016-11-10T00:26:27.292Z,"east of Severnaya Zemlya",earthquake,,,,,reviewed,us,hrv
1992-02-15T04:52:04.700Z,75.918,125.21,17.3,5,mb,,,,0.9,us,usp000533b,2014-11-07T00:50:05.985Z,"Laptev Sea",earthquake,,,,40,reviewed,us,us
1991-11-09T11:00:49.080Z,79.116,126.688,10,4.3,mb,,,,1.4,us,usp0004yyz,2014-11-07T00:49:33.647Z,"east of Severnaya Zemlya",earthquake,,,,10,reviewed,us,us
1991-03-29T11:34:21.070Z,79.734,124.066,10,4.6,mb,,,,1.3,us,usp0004pq5,2014-11-07T00:48:15.107Z,"east of Severnaya Zemlya",earthquake,,,,14,reviewed,us,us
1991-03-22T17:02:19.580Z,79.849,123.884,10,4.7,mb,,,,1,us,usp0004pd2,2014-11-07T00:48:13.596Z,"east of Severnaya Zemlya",earthquake,,,,34,reviewed,us,us
1991-03-01T01:57:03.150Z,72.163,126.82,18.8,5.2,mb,,,,0.8,us,usp0004nhx,2014-11-07T00:48:07.313Z,"northwestern Sakha, Russia",earthquake,,,,55,reviewed,us,us
1990-06-28T22:03:47.600Z,76.148,134.051,10,4.4,mb,,,,0.8,us,usp0004b3x,2014-11-07T00:46:34.273Z,"Laptev Sea",earthquake,,,,7,reviewed,us,us
1990-06-09T18:24:34.250Z,75.092,113.096,33,5.1,ms,,,,0.6,us,usp0004aav,2014-11-07T00:46:30.698Z,"near the coast of central Siberia, Russia",earthquake,,,,1,reviewed,us,us
1990-03-13T00:32:59.180Z,73.325,134.909,17.8,5.3,mw,,,,0.9,us,usp00046hj,2016-11-09T22:04:25.244Z,"Laptev Sea",earthquake,,,,,reviewed,us,hrv
1989-10-02T10:00:32.070Z,76.462,133.411,10,4.5,mb,,,,1.3,us,usp000408f,2014-11-07T00:44:57.664Z,"Laptev Sea",earthquake,,,,9,reviewed,us,us
1989-09-26T00:18:50.020Z,76.175,134.246,10,4.5,mb,,,,1,us,usp000400u,2014-11-07T00:44:54.624Z,"Laptev Sea",earthquake,,,,13,reviewed,us,us
1989-08-17T02:37:00.480Z,76.51,134.34,10,3.9,mb,,,,1.5,us,usp0003yj5,2014-11-07T00:44:43.345Z,"Laptev Sea",earthquake,,,,3,reviewed,us,us
1989-08-05T10:49:23.360Z,76.166,134.346,13.2,4.6,mb,,,,1.1,us,usp0003y3a,2014-11-07T00:44:40.157Z,"Laptev Sea",earthquake,,,,12,reviewed,us,us
1989-08-05T06:55:50.990Z,76.118,134.578,10,5.4,mw,,,,0.9,us,usp0003y2t,2016-11-09T23:09:53.639Z,"Laptev Sea",earthquake,,,,,reviewed,us,hrv
1988-03-21T23:31:21.680Z,77.601,125.451,10,6.5,mw,,,,0.9,us,usp0003e6c,2016-11-10T00:29:34.266Z,"Laptev Sea",earthquake,,,,,reviewed,us,nc
1988-01-01T14:36:09.580Z,74.655,130.962,10,5.1,mw,,,,1,us,usp0003bqm,2016-11-09T21:34:41.950Z,"Laptev Sea",earthquake,,,,,reviewed,us,hrv
1987-11-25T17:28:01.010Z,73.658,118.711,10,5.1,mb,,,,0.8,us,usp0003aj8,2014-11-07T00:41:15.736Z,"near the coast of northwestern Sakha, Russia",earthquake,,,,21,reviewed,us,us
1987-10-08T06:19:17.530Z,73.72,118.63,10,4.7,mb,,,,0.9,us,usp000392n,2014-11-07T00:41:04.243Z,"near the coast of northwestern Sakha, Russia",earthquake,,,,6,reviewed,us,us
1987-09-22T22:05:15.840Z,76.421,134.275,14.3,5.5,mw,,,,0.9,us,usp00038mh,2016-11-09T23:32:43.636Z,"Laptev Sea",earthquake,,,,,reviewed,us,hrv
1987-02-22T01:22:29.560Z,78.866,125.966,10,5.4,mw,,,,0.9,us,usp00032nw,2016-11-09T21:56:21.641Z,"east of Severnaya Zemlya",earthquake,,,,,reviewed,us,hrv
1986-08-05T05:20:31.450Z,76.358,146.512,10,4.7,mb,,,,1.2,us,usp0002wvy,2014-11-07T00:38:48.785Z,"New Siberian Islands, Sakha, Russia",earthquake,,,,10,reviewed,us,us
1986-06-15T06:55:34.610Z,72.587,125.58,10,4.7,mb,,,,1.2,us,usp0002v2g,2014-11-07T00:38:32.895Z,"northwestern Sakha, Russia",earthquake,,,,8,reviewed,us,us
1986-05-19T13:52:30.740Z,75.573,111.442,10,4.6,mb,,,,1.4,us,usp0002u6j,2014-11-07T00:38:24.828Z,"near the coast of central Siberia, Russia",earthquake,,,,20,reviewed,us,us
1985-06-03T18:32:53.300Z,78.202,126.397,10,5.1,mb,,,,0.9,us,usp0002fg4,2014-11-07T00:36:41.475Z,"east of Severnaya Zemlya",earthquake,,,,57,reviewed,us,us
